Sample	Rawname
Blank	251118_083
S4A35	251118_084
S4A9	251118_085
S4A24	251118_086
S4A39	251118_087
S2B2	251118_088
S2B15	251118_089
S4A3	251118_090
S2B11	251118_091
S4A4	251118_092
S2B19	251118_093
S2B16	251118_094
S2B28	251118_095
S4A33	251118_096
S2B26	251118_097
S2B8	251118_098
S2B7	251118_099
S4A12	251118_100
S2B10	251118_101
S2B27	251118_102
S4A10	251118_103
S4A16	251118_104
S2B13	251118_105
S4A29	251118_106
S2B1	251118_107
S4A26	251118_108
S2B30	251118_109
S2B23	251118_110
S4A1	251118_111
S4A13	251118_112
S4A11	251118_113
S4A20	251118_114
S4A5	251118_115
S4A23	251118_116
S2B14	251118_117
S2B5	251118_118
S4A17	251118_119
S4A7	251118_120
S2B20	251118_121
S4A30	251118_122
S2B3	251118_123
S2B35	251118_124
S2B31	251118_125
S4A8	251118_126
S4A27	251118_127
S2B12	251118_128
S4A18	251118_129
S4A25	251118_130
S4A28	251118_131
S4A6	251118_132
S4A38	251118_133
S2B33	251118_134
S2B38	251118_135
S4A19	251118_136
S2B36	251118_137
S4A21	251118_138
S4A31	251118_139
S2B25	251118_140
S4A14	251118_141
S4A15	251118_142
S4A36	251118_143
S2B21	251118_144
S2B18	251118_145
S4A37	251118_146
S2B24	251118_147
S2B6	251118_148
S4A22	251118_149
S2B29	251118_150
S2B37	251118_151
S4A34	251118_152
S2B22	251118_153
S2B32	251118_154
S2B34	251118_155
S2B4	251118_156
S2B39	251118_157
S2B9	251118_158
S4A2	251118_159
S2B17	251118_160
S4A32	251118_161
